,year,state,district,chloride,sdp,ginivalue,intercept,sdp2,sdp3
0,2000,westbengal,24paraganasnorth,78.411766,247972.2633412,,1,61490243386.55745,1.5247874825965906e+16
1,2001,westbengal,24paraganasnorth,,265880.2771468,,1,70692321775.65918,1.8795694105863028e+16
2,2002,westbengal,24paraganasnorth,98.555557,275199.4805728,,1,75734754107.53891,2.084216499170344e+16
3,2003,westbengal,24paraganasnorth,,291369.4648514,,1,84896165047.79121,2.4736150177911056e+16
4,2004,westbengal,24paraganasnorth,71.666664,310686.6401106,,1,96526188343.21347,2.9989397139035956e+16
5,2005,westbengal,24paraganasnorth,54.861111,330249.3539621,,1,109064635792.38441,3.601852551054668e+16
6,2006,westbengal,24paraganasnorth,,356170.7914031,,1,126857632648.71059,4.5182983416014984e+16
7,2007,westbengal,24paraganasnorth,134.625,383881.2012807,,1,147364776696.7133,5.65705675047964e+16
8,2008,westbengal,24paraganasnorth,60.0,399354.6414195,,1,159484129623.29742,6.3690727397813e+16
9,2009,westbengal,24paraganasnorth,,430366.1837455,,1,185215052111.66547,7.971029514952138e+16
10,2010,westbengal,24paraganasnorth,,456461.6610105,,1,208357247972.4646,9.510709549308782e+16
11,2011,westbengal,24paraganasnorth,,473204.651118,,1,223922641839.70807,1.0596123560917992e+17
12,2012,westbengal,24paraganasnorth,,492901.166371,,1,242951559809.8922,1.1975110720194965e+17
13,2013,westbengal,24paraganasnorth,,503951.567141,,1,253967182023.86984,1.2798715938331282e+17
14,2014,westbengal,24paraganasnorth,,515701.602897,,1,265948143230.53506,1.3714988375146786e+17
15,2015,westbengal,24paraganasnorth,,546988.050863,,1,299195927786.9039,1.6365659736630544e+17
16,2016,westbengal,24paraganasnorth,100.2,584910.827282,,1,342120675871.7136,2.00110087554401e+17
17,2017,westbengal,24paraganasnorth,78.07692,623786.822041,,1,389109999352.0102,2.42721689920166e+17
18,2018,westbengal,24paraganasnorth,75.126717,659287.894247,,1,434660527500.64343,2.8656642388818944e+17
19,2000,westbengal,24paraganassouth,189.64516,247972.2633412,0.29,1,61490243386.55745,1.5247874825965906e+16
20,2001,westbengal,24paraganassouth,169.94737,265880.2771468,0.29,1,70692321775.65918,1.8795694105863028e+16
21,2002,westbengal,24paraganassouth,226.64706,275199.4805728,0.29,1,75734754107.53891,2.084216499170344e+16
22,2003,westbengal,24paraganassouth,,291369.4648514,0.29,1,84896165047.79121,2.4736150177911056e+16
23,2004,westbengal,24paraganassouth,286.90909,310686.6401106,0.29,1,96526188343.21347,2.9989397139035956e+16
24,2005,westbengal,24paraganassouth,213.74286,330249.3539621,0.29,1,109064635792.38441,3.601852551054668e+16
25,2006,westbengal,24paraganassouth,,356170.7914031,0.29,1,126857632648.71059,4.5182983416014984e+16
26,2007,westbengal,24paraganassouth,193.5,383881.2012807,0.29,1,147364776696.7133,5.65705675047964e+16
27,2008,westbengal,24paraganassouth,,399354.6414195,0.29,1,159484129623.29742,6.3690727397813e+16
28,2009,westbengal,24paraganassouth,257.65714,430366.1837455,0.29,1,185215052111.66547,7.971029514952138e+16
29,2010,westbengal,24paraganassouth,296.625,456461.6610105,0.29,1,208357247972.4646,9.510709549308782e+16
30,2011,westbengal,24paraganassouth,352.92001,473204.651118,0.29,1,223922641839.70807,1.0596123560917992e+17
31,2012,westbengal,24paraganassouth,263.30768,492901.166371,0.29,1,242951559809.8922,1.1975110720194965e+17
32,2013,westbengal,24paraganassouth,177.96364,503951.567141,0.29,1,253967182023.86984,1.2798715938331282e+17
33,2014,westbengal,24paraganassouth,,515701.602897,0.29,1,265948143230.53506,1.3714988375146786e+17
34,2015,westbengal,24paraganassouth,,546988.050863,0.29,1,299195927786.9039,1.6365659736630544e+17
35,2016,westbengal,24paraganassouth,255.11429,584910.827282,0.29,1,342120675871.7136,2.00110087554401e+17
36,2017,westbengal,24paraganassouth,276.57407,623786.822041,0.29,1,389109999352.0102,2.42721689920166e+17
37,2018,westbengal,24paraganassouth,293.66,659287.894247,0.29,1,434660527500.64343,2.8656642388818944e+17
38,2000,telangana,adilabad,76.699997,0,0.37,1,0,0
39,2001,telangana,adilabad,53.714287,0,0.37,1,0,0
40,2002,telangana,adilabad,65.845711,0,0.37,1,0,0
41,2003,telangana,adilabad,,0,0.37,1,0,0
42,2004,telangana,adilabad,65.5,161790.0415709,0.37,1,26176017551.513554,4235018967819986.0
43,2005,telangana,adilabad,68.25,187776.1779824,0.37,1,35259893017.67796,6620967946927880.0
44,2006,telangana,adilabad,76.727272,208478.0615525,0.37,1,43463102148.68798,9061103285016768.0
45,2007,telangana,adilabad,80.5,229693.2189788,0.37,1,52758974844.842964,1.2118378762133516e+16
46,2008,telangana,adilabad,164.58333,260994.8059207,0.37,1,68118288717.583855,1.7778519543496006e+16
47,2009,telangana,adilabad,145.25,261702.8578216,0.37,1,68488385791.99258,1.7923606289352722e+16
48,2010,telangana,adilabad,118.36364,307974.0313275,0.37,1,94848003972.11195,2.9210722146658052e+16
49,2011,telangana,adilabad,141.72728,325139.34,0.37,1,105715590415.63562,3.4372297295450092e+16
50,2012,telangana,adilabad,55.666668,334204.72,0.37,1,111692794870.27838,3.732825923563882e+16
51,2013,telangana,adilabad,96.63636,349592.66,0.37,1,122215027925.87558,4.272547670458113e+16
52,2014,telangana,adilabad,102.72727,372896.74,0.37,1,139051978702.6276,5.1852029548759256e+16
53,2015,telangana,adilabad,124.66666,416892.372407,0.37,1,173799250171.13678,7.245558172640291e+16
54,2016,telangana,adilabad,145.375,455731.09,0.37,1,207690826392.58813,9.465116669489496e+16
55,2017,telangana,adilabad,134.16667,498145.46,0.37,1,248148899318.61163,1.2361424759956347e+17
56,2018,telangana,adilabad,78.0,544440.594844,0.37,1,296415561314.0885,1.6138066452286048e+17
57,2000,uttarpradesh,agra,799.5,351084.1089774,0.26,1,123260051576.45488,4.327464538022803e+16
58,2000,uttarpradesh,agra,799.5,351084.1089774,0.26,1,123260051576.45488,4.327464538022803e+16
59,2001,uttarpradesh,agra,,357471.0467097,0.26,1,127785549235.72853,4.5679634039669784e+16
60,2001,uttarpradesh,agra,,357471.0467097,0.26,1,127785549235.72853,4.5679634039669784e+16
61,2002,uttarpradesh,agra,263.25,369038.1836814,0.26,1,136189181014.86674,5.025900799878383e+16
62,2002,uttarpradesh,agra,263.25,369038.1836814,0.26,1,136189181014.86674,5.025900799878383e+16
63,2003,uttarpradesh,agra,,388468.8674867,0.26,1,150908061006.3993,5.862308355376977e+16
64,2003,uttarpradesh,agra,,388468.8674867,0.26,1,150908061006.3993,5.862308355376977e+16
65,2004,uttarpradesh,agra,598.40002,407921.4919919,0.26,1,166399943628.89777,6.787811327246803e+16
66,2004,uttarpradesh,agra,598.40002,407921.4919919,0.26,1,166399943628.89777,6.787811327246803e+16
67,2005,uttarpradesh,agra,297.0,431731.0483276,0.26,1,186391698090.0485,8.047108321597816e+16
68,2005,uttarpradesh,agra,297.0,431731.0483276,0.26,1,186391698090.0485,8.047108321597816e+16
69,2006,uttarpradesh,agra,,466023.3283118,0.26,1,217177742530.80777,1.0120989440945019e+17
70,2006,uttarpradesh,agra,,466023.3283118,0.26,1,217177742530.80777,1.0120989440945019e+17
71,2007,uttarpradesh,agra,,495889.8633084,0.26,1,245906756532.02362,1.2194266788327718e+17
72,2007,uttarpradesh,agra,,495889.8633084,0.26,1,245906756532.02362,1.2194266788327718e+17
73,2008,uttarpradesh,agra,,533571.8096457,0.26,1,284698876048.58716,1.519072944973415e+17
74,2008,uttarpradesh,agra,,533571.8096457,0.26,1,284698876048.58716,1.519072944973415e+17
75,2009,uttarpradesh,agra,,566760.9860888,0.26,1,321218015352.34894,1.820538391305846e+17
76,2009,uttarpradesh,agra,,566760.9860888,0.26,1,321218015352.34894,1.820538391305846e+17
77,2010,uttarpradesh,agra,,612018.7067716,0.26,1,374566897438.38165,2.2924194816968883e+17
78,2010,uttarpradesh,agra,,612018.7067716,0.26,1,374566897438.38165,2.2924194816968883e+17
79,2011,uttarpradesh,agra,,645131.553217,0.26,1,416194720956.1789,2.6850034677117558e+17
80,2011,uttarpradesh,agra,,645131.553217,0.26,1,416194720956.1789,2.6850034677117558e+17
81,2012,uttarpradesh,agra,,673552.189347,0.26,1,453672551774.1369,3.0557214049411014e+17
82,2012,uttarpradesh,agra,,673552.189347,0.26,1,453672551774.1369,3.0557214049411014e+17
83,2013,uttarpradesh,agra,,707469.104121,0.26,1,500512533285.7704,3.540971535250162e+17
84,2013,uttarpradesh,agra,,707469.104121,0.26,1,500512533285.7704,3.540971535250162e+17
85,2014,uttarpradesh,agra,,729686.3008,0.26,1,532442097575.18805,3.885157045698316e+17
86,2014,uttarpradesh,agra,,729686.3008,0.26,1,532442097575.18805,3.885157045698316e+17
87,2015,uttarpradesh,agra,,792048.75936,0.26,1,627341237203.7152,4.968848486225701e+17
88,2015,uttarpradesh,agra,,792048.75936,0.26,1,627341237203.7152,4.968848486225701e+17
89,2016,uttarpradesh,agra,202.93871,888453.00797,0.26,1,789348747370.9409,7.012992689390642e+17
90,2016,uttarpradesh,agra,202.93871,888453.00797,0.26,1,789348747370.9409,7.012992689390642e+17
91,2017,uttarpradesh,agra,,922457.512487,0.26,1,850927862343.7037,7.849447992034533e+17
92,2017,uttarpradesh,agra,,922457.512487,0.26,1,850927862343.7037,7.849447992034533e+17
93,2018,uttarpradesh,agra,220.233,949184.454018,0.26,1,900951127749.4489,8.55168804289762e+17
94,2018,uttarpradesh,agra,220.233,949184.454018,0.26,1,900951127749.4489,8.55168804289762e+17
95,2000,gujarat,ahmadabad,784.0,187486.1300255,0.33,1,35151048951.93869,6590334134335893.0
96,2001,gujarat,ahmadabad,868.09998,202722.5912177,0.33,1,41096448990.0187,8331178629102622.0
97,2002,gujarat,ahmadabad,1258.3077,220397.2332726,0.33,1,48574940434.21686,1.0705782478082742e+16
98,2003,gujarat,ahmadabad,,257104.4366173,0.33,1,66102691328.29923,1.6995295212849656e+16
99,2004,gujarat,ahmadabad,1417.1,272449.3578123,0.33,1,74228652572.33466,2.0223548724604908e+16
100,2005,gujarat,ahmadabad,732.66669,311996.5449489,0.33,1,97341844060.05098,3.037031902569051e+16
101,2006,gujarat,ahmadabad,578.08331,338383.4783698,0.33,1,114503378433.64493,3.874605147947031e+16
102,2007,gujarat,ahmadabad,1115.5,378395.6474308,0.33,1,143183265994.5743,5.41799246372734e+16
103,2008,gujarat,ahmadabad,1135.3,394570.375799,0.33,1,155685781458.16406,6.1428997296508776e+16
104,2009,gujarat,ahmadabad,1090.7,450323.9227272,0.33,1,202791635380.4132,9.132192474077173e+16
105,2010,gujarat,ahmadabad,1359.4546,499605.6040329,0.33,1,249605759581.0789,1.2470443628559573e+17
106,2011,gujarat,ahmadabad,1004.5333,532809.458729,0.33,1,283885919311.0899,1.5125710300892637e+17
107,2012,gujarat,ahmadabad,1095.8889,596658.833674,0.33,1,356001763801.218,2.1241159717552157e+17
108,2013,gujarat,ahmadabad,985.83331,641488.810619,0.33,1,411507894149.3793,2.6397770957821462e+17
109,2014,gujarat,ahmadabad,1050.9091,705628.836007,0.33,1,497912054204.5936,3.5134110324224166e+17
110,2015,gujarat,ahmadabad,967.90002,774775.215127,0.33,1,600276633975.0891,4.6507945822376115e+17
111,2016,gujarat,ahmadabad,587.40002,843930.335881,0.33,1,712218411820.2175,6.010627235080686e+17
112,2017,gujarat,ahmadabad,1041.7,946511.194431,0.33,1,895883441183.1984,8.479637059852636e+17
113,2018,gujarat,ahmadabad,465.375,1034399.010404,0.33,1,1069981312724.7744,1.1067876110332794e+18
114,2000,maharashtra,ahmednagar,171.44827,462181.6751331,0.24,1,213611900828.8384,9.872750615343816e+16
115,2001,maharashtra,ahmednagar,188.39999,478508.6139339,0.24,1,228970493608.94217,1.0956435352857584e+17
116,2002,maharashtra,ahmednagar,173.89999,511507.1640366,0.24,1,261639578860.7652,1.3383051898280035e+17
117,2003,maharashtra,ahmednagar,,551012.7797041,0.24,1,303615083397.239,1.672957910628048e+17
118,2004,maharashtra,ahmednagar,163.70589,599027.6349564,0.24,1,358834107441.45807,2.1495154672234736e+17
119,2005,maharashtra,ahmednagar,228.27777,685815.548872,0.24,1,470342967074.60254,3.2256852012235354e+17
120,2006,maharashtra,ahmednagar,186.42693,780279.6914051,0.24,1,608836396819.2382,4.7506267582630816e+17
121,2007,maharashtra,ahmednagar,218.72707,871095.9483975,0.24,1,758808151314.5399,6.609947062210929e+17
122,2008,maharashtra,ahmednagar,233.78659,884778.747654,0.24,1,782833432300.1805,6.92634383852236e+17
123,2009,maharashtra,ahmednagar,214.52499,970265.1970352,0.24,1,941414552577.7554,9.134217763486605e+17
124,2010,maharashtra,ahmednagar,,1080814.5878042,0.24,1,1168160173210.3625,1.2625645560976407e+18
125,2011,maharashtra,ahmednagar,,1126594.697875,0.24,1,1269215613280.0627,1.429891580381485e+18
126,2012,maharashtra,ahmednagar,185.47826,1189710.839782,0.24,1,1415411882294.7917,1.6839308591223583e+18
127,2013,maharashtra,ahmednagar,248.16667,1267551.269731,0.24,1,1606686221396.6704,2.0365571599906524e+18
128,2014,maharashtra,ahmednagar,179.86667,1345341.463303,0.24,1,1809943652882.2573,2.434992242464593e+18
129,2015,maharashtra,ahmednagar,140.47368,1452513.394888,0.24,1,2109795162329.0632,3.064505733752867e+18
130,2016,maharashtra,ahmednagar,127.46667,1596120.747603,0.24,1,2547601440928.7593,4.066279516489691e+18
131,2017,maharashtra,ahmednagar,134.20111,1661065.007215,0.24,1,2759136958194.168,4.5831058513699686e+18
132,2018,maharashtra,ahmednagar,136.76103,1728577.953055,0.24,1,2987981739787.8135,5.164959359528137e+18
133,2000,rajasthan,ajmer,896.89288,174260.9950852,0.31,1,30366894408.0841,5291765237199931.0
134,2001,rajasthan,ajmer,626.48389,194104.6611551,0.31,1,37676619482.13619,7313207458049685.0
135,2002,rajasthan,ajmer,698.40912,170786.1680972,0.31,1,29167915213.32505,4981476470667809.0
136,2003,rajasthan,ajmer,,225127.994208,0.31,1,50682613776.11728,1.141007518063603e+16
137,2004,rajasthan,ajmer,502.17242,219623.1494967,0.31,1,48234327794.84984,1.0593374984161138e+16
138,2005,rajasthan,ajmer,246.81818,234376.8327693,0.31,1,54932499738.96842,1.2874905304919818e+16
139,2006,rajasthan,ajmer,325.66666,261962.6382181,0.31,1,68624423822.18715,1.7977035110657176e+16
140,2007,rajasthan,ajmer,946.81818,273898.802725,0.31,1,75020554134.18848,2.054803995712027e+16
141,2008,rajasthan,ajmer,508.0625,296930.5963142,0.31,1,88167779027.50642,2.61797112023361e+16
142,2009,rajasthan,ajmer,664.34485,314237.3713139,0.31,1,98745125530.26985,3.102940867669307e+16
143,2010,rajasthan,ajmer,375.45456,361435.8554958,0.31,1,130635877637.9808,4.721649019252823e+16
144,2011,rajasthan,ajmer,668.5,395330.931678,0.31,1,156286545541.3955,6.178490565761607e+16
145,2012,rajasthan,ajmer,604.88464,409802.490807,0.31,1,167938081471.62134,6.882144408841933e+16
146,2013,rajasthan,ajmer,802.0,434292.219285,0.31,1,188609731731.49054,8.19117389724175e+16
147,2014,rajasthan,ajmer,407.4762,465407.73111,0.31,1,216604356176.95807,1.0080934195686037e+17
148,2015,rajasthan,ajmer,689.44446,501921.511436,0.31,1,251925203642.19867,1.2644667898091445e+17
149,2016,rajasthan,ajmer,703.0,529650.384499,0.31,1,280529529799.9386,1.4858257332186115e+17
150,2017,rajasthan,ajmer,674.5,557618.206976,0.31,1,310938064751.12915,1.7338472614711203e+17
151,2018,rajasthan,ajmer,669.94739,568101.882953,0.31,1,322739749414.74414,1.8334905934629552e+17
152,2000,maharashtra,akola,403.59091,462181.6751331,0.25,1,213611900828.8384,9.872750615343816e+16
153,2001,maharashtra,akola,264.85715,478508.6139339,0.25,1,228970493608.94217,1.0956435352857584e+17
154,2002,maharashtra,akola,152.0,511507.1640366,0.25,1,261639578860.7652,1.3383051898280035e+17
155,2003,maharashtra,akola,,551012.7797041,0.25,1,303615083397.239,1.672957910628048e+17
156,2004,maharashtra,akola,169.3158,599027.6349564,0.25,1,358834107441.45807,2.1495154672234736e+17
157,2005,maharashtra,akola,318.36365,685815.548872,0.25,1,470342967074.60254,3.2256852012235354e+17
158,2006,maharashtra,akola,200.69231,780279.6914051,0.25,1,608836396819.2382,4.7506267582630816e+17
159,2007,maharashtra,akola,371.01233,871095.9483975,0.25,1,758808151314.5399,6.609947062210929e+17
160,2008,maharashtra,akola,238.95938,884778.747654,0.25,1,782833432300.1805,6.92634383852236e+17
161,2009,maharashtra,akola,162.61539,970265.1970352,0.25,1,941414552577.7554,9.134217763486605e+17
162,2010,maharashtra,akola,,1080814.5878042,0.25,1,1168160173210.3625,1.2625645560976407e+18
163,2011,maharashtra,akola,,1126594.697875,0.25,1,1269215613280.0627,1.429891580381485e+18
164,2012,maharashtra,akola,,1189710.839782,0.25,1,1415411882294.7917,1.6839308591223583e+18
165,2013,maharashtra,akola,205.61539,1267551.269731,0.25,1,1606686221396.6704,2.0365571599906524e+18
166,2014,maharashtra,akola,196.1579,1345341.463303,0.25,1,1809943652882.2573,2.434992242464593e+18
167,2015,maharashtra,akola,129.92857,1452513.394888,0.25,1,2109795162329.0632,3.064505733752867e+18
168,2016,maharashtra,akola,104.42857,1596120.747603,0.25,1,2547601440928.7593,4.066279516489691e+18
169,2017,maharashtra,akola,120.88449,1661065.007215,0.25,1,2759136958194.168,4.5831058513699686e+18
170,2018,maharashtra,akola,158.04053,1728577.953055,0.25,1,2987981739787.8135,5.164959359528137e+18
171,2000,kerala,alappuzha,41.060001,147974.0130992,0.32,1,21896308552.682213,3240084648598723.0
172,2001,kerala,alappuzha,58.163158,155366.950885,0.32,1,24138889427.302002,3750385648070076.0
173,2002,kerala,alappuzha,42.055557,166735.0922528,0.32,1,27800590988.54973,4635334103158200.0
174,2003,kerala,alappuzha,,177541.0598597,0.32,1,31520827936.10558,5596241199431425.0
175,2004,kerala,alappuzha,51.48,194267.493393,0.32,1,37739858989.1993,7331627806837028.0
176,2005,kerala,alappuzha,40.433334,214150.7366373,0.32,1,45860538002.298225,9821067995775054.0
177,2006,kerala,alappuzha,33.299999,231069.2215745,0.32,1,53392985159.04538,1.2337475518239446e+16
178,2007,kerala,alappuzha,35.278126,251692.2406281,0.32,1,63348983992.393394,1.5944447722559132e+16
179,2008,kerala,alappuzha,31.505882,267167.5888867,0.32,1,71378520551.53275,1.9070027234052764e+16
180,2009,kerala,alappuzha,40.791668,291324.5256403,0.32,1,84869979239.54582,2.4724706443062796e+16
181,2010,kerala,alappuzha,44.443245,309969.0946772,0.32,1,96080839655.00299,2.9782090883686496e+16
182,2011,kerala,alappuzha,32.094116,328021.122926,0.32,1,107597857085.63399,3.5294369905660924e+16
183,2012,kerala,alappuzha,54.7425,348615.805536,0.32,1,121532979869.51418,4.236831767640115e+16
184,2013,kerala,alappuzha,44.029999,364706.773146,0.32,1,133011030378.5679,4.851002368219208e+16
185,2014,kerala,alappuzha,24.086206,382134.255452,0.32,1,146026589189.8544,5.580176193626009e+16
186,2015,kerala,alappuzha,26.492592,411150.14943,0.32,1,169044445376.3113,6.950264897678187e+16
187,2016,kerala,alappuzha,29.068966,443615.30071,0.32,1,196794535024.0237,8.73010668327669e+16
188,2017,kerala,alappuzha,41.299999,473181.789805,0.32,1,223901006203.0632,1.0594587885430586e+17
189,2018,kerala,alappuzha,41.353657,510786.93361,0.32,1,260903291546.70654,1.3326599225789808e+17
190,2000,uttarpradesh,aligarh,230.5,351084.1089774,0.28,1,123260051576.45488,4.327464538022803e+16
191,2001,uttarpradesh,aligarh,,357471.0467097,0.28,1,127785549235.72853,4.5679634039669784e+16
192,2002,uttarpradesh,aligarh,133.28572,369038.1836814,0.28,1,136189181014.86674,5.025900799878383e+16
193,2003,uttarpradesh,aligarh,,388468.8674867,0.28,1,150908061006.3993,5.862308355376977e+16
194,2004,uttarpradesh,aligarh,663.59998,407921.4919919,0.28,1,166399943628.89777,6.787811327246803e+16
195,2005,uttarpradesh,aligarh,253.0,431731.0483276,0.28,1,186391698090.0485,8.047108321597816e+16
196,2006,uttarpradesh,aligarh,,466023.3283118,0.28,1,217177742530.80777,1.0120989440945019e+17
197,2007,uttarpradesh,aligarh,,495889.8633084,0.28,1,245906756532.02362,1.2194266788327718e+17
198,2008,uttarpradesh,aligarh,,533571.8096457,0.28,1,284698876048.58716,1.519072944973415e+17
199,2009,uttarpradesh,aligarh,,566760.9860888,0.28,1,321218015352.34894,1.820538391305846e+17
200,2010,uttarpradesh,aligarh,,612018.7067716,0.28,1,374566897438.38165,2.2924194816968883e+17
201,2011,uttarpradesh,aligarh,,645131.553217,0.28,1,416194720956.1789,2.6850034677117558e+17
202,2012,uttarpradesh,aligarh,,673552.189347,0.28,1,453672551774.1369,3.0557214049411014e+17
203,2013,uttarpradesh,aligarh,,707469.104121,0.28,1,500512533285.7704,3.540971535250162e+17
204,2014,uttarpradesh,aligarh,,729686.3008,0.28,1,532442097575.18805,3.885157045698316e+17
205,2015,uttarpradesh,aligarh,,792048.75936,0.28,1,627341237203.7152,4.968848486225701e+17
206,2016,uttarpradesh,aligarh,135.88667,888453.00797,0.28,1,789348747370.9409,7.012992689390642e+17
207,2017,uttarpradesh,aligarh,,922457.512487,0.28,1,850927862343.7037,7.849447992034533e+17
208,2018,uttarpradesh,aligarh,219.78999,949184.454018,0.28,1,900951127749.4489,8.55168804289762e+17
209,2000,westbengal,alipurduar,41.75,247972.2633412,,1,61490243386.55745,1.5247874825965906e+16
210,2001,westbengal,alipurduar,21.6,265880.2771468,,1,70692321775.65918,1.8795694105863028e+16
211,2002,westbengal,alipurduar,25.200001,275199.4805728,,1,75734754107.53891,2.084216499170344e+16
212,2003,westbengal,alipurduar,,291369.4648514,,1,84896165047.79121,2.4736150177911056e+16
213,2004,westbengal,alipurduar,43.833332,310686.6401106,,1,96526188343.21347,2.9989397139035956e+16
214,2005,westbengal,alipurduar,30.5,330249.3539621,,1,109064635792.38441,3.601852551054668e+16
215,2006,westbengal,alipurduar,32.0,356170.7914031,,1,126857632648.71059,4.5182983416014984e+16
216,2007,westbengal,alipurduar,,383881.2012807,,1,147364776696.7133,5.65705675047964e+16
217,2008,westbengal,alipurduar,27.525,399354.6414195,,1,159484129623.29742,6.3690727397813e+16
218,2009,westbengal,alipurduar,27.299999,430366.1837455,,1,185215052111.66547,7.971029514952138e+16
219,2010,westbengal,alipurduar,,456461.6610105,,1,208357247972.4646,9.510709549308782e+16
220,2011,westbengal,alipurduar,32.0,473204.651118,,1,223922641839.70807,1.0596123560917992e+17
221,2012,westbengal,alipurduar,20.666666,492901.166371,,1,242951559809.8922,1.1975110720194965e+17
222,2013,westbengal,alipurduar,55.333332,503951.567141,,1,253967182023.86984,1.2798715938331282e+17
223,2014,westbengal,alipurduar,,515701.602897,,1,265948143230.53506,1.3714988375146786e+17
224,2015,westbengal,alipurduar,,546988.050863,,1,299195927786.9039,1.6365659736630544e+17
225,2016,westbengal,alipurduar,55.888889,584910.827282,,1,342120675871.7136,2.00110087554401e+17
226,2017,westbengal,alipurduar,30.0,623786.822041,,1,389109999352.0102,2.42721689920166e+17
227,2018,westbengal,alipurduar,39.993752,659287.894247,,1,434660527500.64343,2.8656642388818944e+17
228,2000,madhyapradesh,alirajpur,197.0,142623.6373679,0.32,1,20341501936.05024,2901178995645665.0
229,2001,madhyapradesh,alirajpur,253.71428,152826.3020635,0.32,1,23355878602.40415,3569392558249453.0
230,2002,madhyapradesh,alirajpur,157.66667,144856.4718406,0.32,1,20983397434.106537,3039580919533771.5
231,2003,madhyapradesh,alirajpur,,161105.9514238,0.32,1,25955127584.167805,4181525523773469.5
232,2004,madhyapradesh,alirajpur,133.14285,166392.1069122,0.32,1,27686333242.680992,4606787320922972.0
233,2005,madhyapradesh,alirajpur,,174775.744243,0.32,1,30546560775.694546,5338797893636045.0
234,2006,madhyapradesh,alirajpur,191.44444,190707.9783514,0.32,1,36369533006.87805,6935960113326227.0
235,2007,madhyapradesh,alirajpur,205.72728,199720.2561209,0.32,1,39888180704.9979,7966477666598922.0
236,2008,madhyapradesh,alirajpur,80.333336,224970.9800584,0.32,1,50611941868.437004,1.1386218164801042e+16
237,2009,madhyapradesh,alirajpur,138.0,246296.5721929,0.32,1,60662001473.972404,1.494084302540005e+16
238,2010,madhyapradesh,alirajpur,113.11111,259230.1690989,0.32,1,67200280571.04428,1.7420340095925334e+16
239,2011,madhyapradesh,alirajpur,81.166664,282371.04,0.32,1,79733404230.6816,2.251440427535796e+16
240,2012,madhyapradesh,alirajpur,134.66667,306853.34,0.32,1,94158972269.15561,2.8892995131757784e+16
241,2013,madhyapradesh,alirajpur,201.25,322597.6,0.32,1,104069211525.75998,3.3572477872102508e+16
242,2014,madhyapradesh,alirajpur,137.27272,339246.9,0.32,1,115088459159.61002,3.90434029956743e+16
243,2015,madhyapradesh,alirajpur,81.0,370715.67,0.32,1,137430107983.54889,5.094749455929367e+16
244,2016,madhyapradesh,alirajpur,154.7,419465.25,0.32,1,175951095957.5625,7.380537045361294e+16
245,2017,madhyapradesh,alirajpur,145.41667,441956.43,0.32,1,195325486018.34488,8.632535448868262e+16
246,2018,madhyapradesh,alirajpur,108.2,482361.02,0.32,1,232672153615.44043,1.1223197734354053e+17
247,2000,uttarakhand,almora,,30799.7571684,0.27,1,948625041.6324072,29217420926141.48
248,2001,uttarakhand,almora,,32261.1667241,0.27,1,1040782878.4001771,33576869963656.81
249,2002,uttarakhand,almora,,35281.9027236,0.27,1,1244812659.7975729,43919359172083.74
250,2003,uttarakhand,almora,,38072.534036,0.27,1,1449517847.9223783,55186817600814.21
251,2004,uttarakhand,almora,,43080.982865,0.27,1,1855971084.6144235,79957058494209.44
252,2005,uttarakhand,almora,,49189.0541775,0.27,1,2419563050.8770304,119016017995467.44
253,2006,uttarakhand,almora,,55116.2983736,0.27,1,3037806346.4077024,167432640989822.6
254,2007,uttarakhand,almora,,64750.7207447,0.27,1,4192655836.9581223,271477487277511.8
255,2008,uttarakhand,almora,14.0,71643.1429636,0.27,1,5132739933.702827,367725620865250.44
256,2009,uttarakhand,almora,28.0,83903.4340797,0.27,1,7039786250.366564,590662241592809.5
257,2010,uttarakhand,almora,,92717.0888381,0.27,1,8596458562.612127,797038612242754.0
258,2011,uttarakhand,almora,,101959.625698,0.27,1,10395765272.476263,1059948336025946.8
259,2012,uttarakhand,almora,14.0,109528.494544,0.27,1,11996491117.075039,1313957611863697.8
260,2013,uttarakhand,almora,,117777.508407,0.27,1,13871541486.560955,1633755594051482.2
261,2014,uttarakhand,almora,,125701.663137,0.27,1,15800908115.407824,1986200429181683.8
262,2015,uttarakhand,almora,,136143.511531,0.27,1,18535055731.991528,2523427573776116.5
263,2016,uttarakhand,almora,21.165001,150302.942719,0.27,1,22590974589.990997,3395489959765802.0
264,2017,uttarakhand,almora,,162204.786083,0.27,1,26310392628.231796,4267671608022079.0
265,2018,uttarakhand,almora,,166518.80791,0.27,1,27728513387.76748,4617318994447516.0
266,2000,rajasthan,alwar,367.40909,174260.9950852,0.39,1,30366894408.0841,5291765237199931.0
267,2001,rajasthan,alwar,362.93939,194104.6611551,0.39,1,37676619482.13619,7313207458049685.0
268,2002,rajasthan,alwar,359.61292,170786.1680972,0.39,1,29167915213.32505,4981476470667809.0
269,2003,rajasthan,alwar,,225127.994208,0.39,1,50682613776.11728,1.141007518063603e+16
270,2004,rajasthan,alwar,344.6857,219623.1494967,0.39,1,48234327794.84984,1.0593374984161138e+16
271,2005,rajasthan,alwar,331.82352,234376.8327693,0.39,1,54932499738.96842,1.2874905304919818e+16
272,2006,rajasthan,alwar,181.90909,261962.6382181,0.39,1,68624423822.18715,1.7977035110657176e+16
